0,0,16,44,-1,-1,-1,-1,-1,-1
1,0.25676,16,44,-1,-1,-1,-1,-1,-1
2,0.508813,1716,7472,-1,-1,-1,-1,-1,-1
3,0.459693,1716,7472,-1,-1,-1,-1,-1,-1
4,0.110496,3450,9762,-1,-1,-1,-1,-1,-1
5,1.10314,7306,36936,-1,-1,-1,-1,-1,-1
6,0.039634,7306,36936,0,0.475173,3.14159,2.22213,1e+50,2.14966e+48
8,3.8848,995,4508,0.0107809,0.637476,3.09013,1.97582,167.494,5.19828
7,2.00078,97036,499941,0.0100544,0.703157,3.10351,1.87368,167.494,4.41265
8,5.99484,43543,236735,0.0372964,0.771262,3.06921,1.80791,25.2859,3.90757
9,4.5308,43543,236750,0.061812,0.777481,2.99239,1.79248,21.8596,3.86058
10,12.7292,43543,236750,0.169353,0.839145,2.83441,1.73575,9.01354,3.60579
8,1.91519,40162,218250,0.217741,0.842925,2.79505,1.73249,8.60655,3.59422
12,0.764578,9045,45151,0.284122,0.823985,2.69894,1.74402,7.25803,3.62607
13,-1,0,-1,-1,-1,-1,-1,-1,-1
